"X","Y"
0.0526883162092417,0
0.598657281836495,1
0.708290646551177,0
0.653440659865737,1
0.577413968509063,0
0.678285533096641,0
0.209977886872366,0
0.23698010481894,0
0.456750267650932,1
0.340151326963678,1
0.400927686132491,0
0.431692220037803,0
0.955373060656711,1
0.222279071807861,0
0.365310793044046,0
0.882475363789126,1
0.527016459964216,0
0.585712720174342,0
0.257662137039006,0
0.868868994526565,0
0.312902956502512,0
0.672860158141702,0
0.6191126992926,1
0.403524145949632,0
0.40440014237538,0
0.962335983291268,1
0.314997619250789,0
0.0158707979135215,0
0.160646850243211,0
0.229256301885471,0
0.389489761320874,1
0.849093164550141,1
0.736638838425279,1
0.674847262678668,1
0.107521296478808,0
0.0594087648205459,0
0.96116043953225,0
0.72969899745658,0
0.490553970215842,0
0.880958732450381,1
0.579228614922613,1
0.694336721906438,0
0.911040919367224,0
0.837856200058013,0
0.514388120500371,0
0.626582279102877,0
0.795195278013125,1
0.943813586141914,1
0.0443147490732372,0
0.753483006265014,0
0.684724036836997,1
0.622377251973376,1
0.993496000068262,1
0.635652735363692,0
0.655924289720133,1
0.727447244804353,1
0.585185402305797,1
0.575272629735991,0
0.0347072549629956,0
0.787022555246949,1
0.180952955270186,0
0.168327103368938,0
0.480441838968545,1
0.242544390726835,0
0.34259635861963,1
0.717314888024703,1
0.870842307806015,0
0.254007079871371,0
0.792596827959642,0
0.571483975974843,1
0.530456529930234,1
0.784546139882877,1
0.926991815213114,1
0.621685350779444,0
0.645842886064202,0
0.434393962146714,0
0.432149598607793,1
0.975111786276102,1
0.307758915238082,0
0.457167949760333,0
0.706614809343591,0
0.811030849115923,1
0.306714098202065,0
0.678055548341945,0
0.784299286780879,1
0.860161478165537,1
0.618273460771888,1
0.18852812750265,0
0.904939952772111,0
0.0320967787411064,0
0.787690593162552,0
0.854399997042492,0
0.802576564019546,1
0.167995949508622,0
0.328677487326786,0
0.199364817002788,0
0.327518837992102,0
0.38060935633257,0
0.505307787330821,0
0.126005230238661,0
